X_id,YEAR.BUILT,YEAR.EVALUATED,AGE,CURRENT.BUILDING.EVAL.SCORE
265,1961,2023,62,90
266,1963,2023,60,93
267,1968,2023,55,79
268,1959,2023,64,96
269,1964,2023,59,95
270,1969,2023,54,90
271,1967,2023,56,95
272,1970,2023,53,92
273,1960,2023,63,90
274,1972,2023,51,88
275,1965,2023,58,96
276,1953,2023,70,96
277,1950,2023,73,85
278,2006,2023,17,99
279,1960,2023,63,74
280,1965,2023,58,93
281,1971,2023,52,97
282,1932,2023,91,90
283,1960,2023,63,95
284,2003,2023,20,99
285,1964,2023,59,77
286,1885,2023,138,92
287,1971,2023,52,76
288,1960,2023,63,88
289,1960,2023,63,90
290,1960,2023,63,91
291,1960,2023,63,90
292,2013,2023,10,99
293,1954,2023,69,84
294,1952,2023,71,93
295,1952,2023,71,82
296,1956,2023,67,95
297,1954,2023,69,94
298,1965,2023,58,94
299,1954,2023,69,86
300,1959,2023,64,94
301,1952,2023,71,92
302,1952,2023,71,94
303,1952,2023,71,89
304,1952,2023,71,93
305,1959,2023,64,95
306,1955,2023,68,95
307,1955,2023,68,92
308,1955,2023,68,96
309,1955,2023,68,94
310,1955,2023,68,65
311,1955,2023,68,82
312,1955,2023,68,92
313,1960,2023,63,92
314,1960,2023,63,89
315,1969,2023,54,95
316,1974,2023,49,91
317,1960,2023,63,91
318,1963,2023,60,96
319,1961,2023,62,84
320,1992,2023,31,92
321,1972,2023,51,88
322,1960,2023,63,90
323,1956,2023,67,92
324,1950,2023,73,71
325,1971,2023,52,89
326,1965,2023,58,93
327,1962,2023,61,88
328,1980,2023,43,91
329,1969,2023,54,85
330,1969,2023,54,94
331,1948,2023,75,98
332,1980,2023,43,92
333,1970,2023,53,82
334,1989,2023,34,83
335,1926,2023,97,75
336,1923,2023,100,72
337,1930,2023,93,84
338,1992,2023,31,87
339,1982,2023,41,92
340,1992,2023,31,100
341,1924,2023,99,67
342,1914,2023,109,78
343,1929,2023,94,79
344,1920,2023,103,93
345,1952,2023,71,87
346,1940,2023,83,80
347,1960,2023,63,94
348,1949,2023,74,87
349,1957,2023,66,87
350,1955,2023,68,94
351,1967,2023,56,67
352,1987,2023,36,76
353,1971,2023,52,94
354,1971,2023,52,91
356,1958,2023,65,71
357,1979,2023,44,95
358,1956,2023,67,85
359,1974,2023,49,91
360,1960,2023,63,75
361,1963,2023,60,86
362,1968,2023,55,94
363,1971,2023,52,86
364,1970,2023,53,62
365,1968,2023,55,98
366,1965,2023,58,100
367,1965,2023,58,93
368,1959,2023,64,93
369,1957,2023,66,96
370,1965,2023,58,91
371,1960,2023,63,87
372,1960,2023,63,87
373,1963,2023,60,94
374,1957,2023,66,88
375,1961,2023,62,95
376,1983,2023,40,89
377,1959,2023,64,99
378,1965,2023,58,84
379,1959,2023,64,99
380,1965,2023,58,97
381,1965,2023,58,91
382,1968,2023,55,96
383,1969,2023,54,98
384,1957,2023,66,74
385,1975,2023,48,96
386,1928,2023,95,88
387,1920,2023,103,88
388,1947,2023,76,79
389,1956,2023,67,98
390,1950,2023,73,87
391,1975,2023,48,97
392,1957,2023,66,67
393,1960,2023,63,87
394,1965,2023,58,81
395,1960,2023,63,76
396,1955,2023,68,84
397,1960,2023,63,90
398,1956,2023,67,69
399,1956,2023,67,70
400,1956,2023,67,80
401,1963,2023,60,87
402,1979,2023,44,95
403,1929,2023,94,68
404,1926,2023,97,89
405,1963,2023,60,94
406,1960,2023,63,91
407,1960,2023,63,93
408,1968,2023,55,90
409,1928,2023,95,96
410,1928,2023,95,99
411,1966,2023,57,91
412,1970,2023,53,81
413,1923,2023,100,98
414,1968,2023,55,96
415,1969,2023,54,87
416,1960,2023,63,95
417,1965,2023,58,81
418,1952,2023,71,71
419,1950,2023,73,75
420,1956,2023,67,81
421,1956,2023,67,85
422,1958,2023,65,78
423,1954,2023,69,85
424,1995,2023,28,90
425,1960,2023,63,85
426,1951,2023,72,76
427,1967,2023,56,82
428,1967,2023,56,73
429,1973,2023,50,89
430,1970,2023,53,88
431,1959,2023,64,93
432,1960,2023,63,92
433,1984,2023,39,75
434,1961,2023,62,89
435,1960,2023,63,83
436,1972,2023,51,75
437,1977,2023,46,92
438,1968,2023,55,81
439,1974,2023,49,97
440,1920,2023,103,75
441,1958,2023,65,97
442,1958,2023,65,78
443,1965,2023,58,85
444,1956,2023,67,95
445,1950,2023,73,91
446,1955,2023,68,89
447,1960,2023,63,90
448,1952,2023,71,88
449,1952,2023,71,87
450,1950,2023,73,85
451,1960,2023,63,75
452,1958,2023,65,74
453,1953,2023,70,79
454,1960,2023,63,75
455,1960,2023,63,92
456,1970,2023,53,91
457,1970,2023,53,92
458,1968,2023,55,81
459,1960,2023,63,84
460,1960,2023,63,87
461,1960,2023,63,87
462,1960,2023,63,91
463,1960,2023,63,91
464,1958,2023,65,92
465,1958,2023,65,80
466,1971,2023,52,94
467,1955,2023,68,93
468,1958,2023,65,74
469,1958,2023,65,84
470,1958,2023,65,80
471,1960,2023,63,91
472,1950,2023,73,80
473,1950,2023,73,84
474,1954,2023,69,77
475,1954,2023,69,79
476,1922,2023,101,64
477,1962,2023,61,92
478,1950,2023,73,88
479,1965,2023,58,91
480,1950,2023,73,92
481,1956,2023,67,91
482,1965,2023,58,90
483,1965,2023,58,93
484,1965,2023,58,94
485,1960,2023,63,86
486,1950,2023,73,85
487,1971,2023,52,89
488,1955,2023,68,92
489,1960,2023,63,94
490,1958,2023,65,80
491,1949,2023,74,87
492,1979,2023,44,95
493,1960,2023,63,87
494,1966,2023,57,80
495,1956,2023,67,91
496,1977,2023,46,88
497,1987,2023,36,81
498,1970,2023,53,68
499,1915,2023,108,90
500,1986,2023,37,89
501,1954,2023,69,93
502,1955,2023,68,95
503,1954,2023,69,70
504,1953,2023,70,70
505,1968,2023,55,90
506,1968,2023,55,81
507,1960,2023,63,83
508,1930,2023,93,86
509,1960,2023,63,91
510,1960,2023,63,90
511,1976,2023,47,95
512,1969,2023,54,96
513,1980,2023,43,55
514,1996,2023,27,89
515,1930,2023,93,70
516,1987,2023,36,83
517,1940,2023,83,67
518,1960,2023,63,74
519,1954,2023,69,91
520,1930,2023,93,89
521,1960,2023,63,88
522,1929,2023,94,98
523,1955,2023,68,85
524,1957,2023,66,84
525,1957,2023,66,98
526,1990,2023,33,88
527,1986,2023,37,89
528,1970,2023,53,97
529,1963,2023,60,97
530,1968,2023,55,92
531,1966,2023,57,86
532,1965,2023,58,85
533,1970,2023,53,97
534,1967,2023,56,90
535,1967,2023,56,85
536,1963,2023,60,91
537,1964,2023,59,95
538,2023,2023,0,96
539,1965,2023,58,88
540,2018,2023,5,94
541,1929,2023,94,92
542,1950,2023,73,83
543,1977,2023,46,91
544,1920,2023,103,92
545,1929,2023,94,89
546,1955,2023,68,76
547,1920,2023,103,92
548,1955,2023,68,82
549,2009,2023,14,82
550,1930,2023,93,81
551,1958,2023,65,80
552,1955,2023,68,95
553,1926,2023,97,78
554,1957,2023,66,88
555,1966,2023,57,75
556,2017,2023,6,99
557,2016,2023,7,99
558,1900,2023,123,66
559,1959,2023,64,92
560,1962,2023,61,99
